Company,Instrument,Credit Rating,1Y Range,% Assets
8.85% Power Finance Corp. 2029,Bonds/NCDs,-,0.00 - 0.12,0.12
310. HDFC Arbitrage Fund - Retail Plan,,,,
Federal Bank,Fixed Deposits,-,5.82 - 10.82,10.82
9.3434% M&M Financial Services 2020,Bonds/Debentures,AAA,0.00 - 2.05,2.05
8.8226% Tata Capital Financial Services 2020,Bonds/Debentures,AAA,0.00 - 1.91,1.91
RBL Bank,Fixed Deposits,-,1.89 - 3.70,1.89
South Indian Bank,Fixed Deposits,-,0.00 - 1.23,1.23
8.5% National Bank Agr. Rur. Devp 2022,Non Convertible Debenture,AAA,0.00 - 1.15,1.15
J&K Bank,Fixed Deposits,-,1.13 - 1.78,1.13
9.3683% M&M Financial Services 2019,Debenture,AAA,0.00 - 1.04,0.95
8.5855% Aditya Birla Finance 2019,Debenture,AAA,0.00 - 1.04,0.95
AU Small Finance Bank,Fixed Deposits,-,0.00 - 0.94,0.94
8.75% Vedanta 2021,Debenture,AA,0.94 - 2.09,0.94
Can Fin Homes 357-D 26/12/2019,Commercial Paper,A1+,0.00 - 1.22,0.94
8.95% Punjab National Bank,Bonds,A,0.00 - 1.30,0.92
8.36% Power Finance Corp. 2020,Bonds,AAA,0.00 - 0.76,0.76
9.21% Punjab National Bank,Bonds,A,0.00 - 0.79,0.56
7.694% M&M Financial Services 2020,Bonds/NCDs,AAA,0.00 - 0.48,0.48
8.75% HDFC 2020,Debenture,AAA,0.00 - 0.52,0.47
Axis Bank,Fixed Deposits,-,0.47 - 2.55,0.47
9.95% Syndicate Bank,Debenture,A+,0.00 - 0.73,0.47
9.2% Andhra Bank,Bonds/Debentures,A+,0.40 - 0.60,0.4
8.86% Power Finance Corp. 2020,Bonds,AAA,0.00 - 0.19,0.19
8.7% Power Finance Corp. 2020,Bonds,AAA,0.00 - 0.18,0.18
8.82% Power Finance Corp. 2020,Bonds,AAA,0.00 - 0.10,0.1
IDFC First Bank,Fixed Deposits,-,0.09 - 0.60,0.09
9.2% ICICI Bank 2050,Bonds,AA+,0.04 - 0.19,0.04
311. HDFC Arbitrage Fund - Wholesale Plan,,,,
Federal Bank,Fixed Deposits,-,5.82 - 10.82,10.82
9.3434% M&M Financial Services 2020,Bonds/Debentures,AAA,0.00 - 2.05,2.05
8.8226% Tata Capital Financial Services 2020,Bonds/Debentures,AAA,0.00 - 1.91,1.91
RBL Bank,Fixed Deposits,-,1.89 - 3.70,1.89
South Indian Bank,Fixed Deposits,-,0.00 - 1.23,1.23
8.5% National Bank Agr. Rur. Devp 2022,Non Convertible Debenture,AAA,0.00 - 1.15,1.15
J&K Bank,Fixed Deposits,-,1.13 - 1.78,1.13
9.3683% M&M Financial Services 2019,Debenture,AAA,0.00 - 1.04,0.95
8.5855% Aditya Birla Finance 2019,Debenture,AAA,0.00 - 1.04,0.95
AU Small Finance Bank,Fixed Deposits,-,0.00 - 0.94,0.94
8.75% Vedanta 2021,Debenture,AA,0.94 - 2.09,0.94
Can Fin Homes 357-D 26/12/2019,Commercial Paper,A1+,0.00 - 1.22,0.94
8.95% Punjab National Bank,Bonds,A,0.00 - 1.30,0.92
8.36% Power Finance Corp. 2020,Bonds,AAA,0.00 - 0.76,0.76
9.21% Punjab National Bank,Bonds,A,0.00 - 0.79,0.56
7.694% M&M Financial Services 2020,Bonds/NCDs,AAA,0.00 - 0.48,0.48
8.75% HDFC 2020,Debenture,AAA,0.00 - 0.52,0.47
Axis Bank,Fixed Deposits,-,0.47 - 2.55,0.47
9.95% Syndicate Bank,Debenture,A+,0.00 - 0.73,0.47
9.2% Andhra Bank,Bonds/Debentures,A+,0.40 - 0.60,0.4
8.86% Power Finance Corp. 2020,Bonds,AAA,0.00 - 0.19,0.19
8.7% Power Finance Corp. 2020,Bonds,AAA,0.00 - 0.18,0.18
8.82% Power Finance Corp. 2020,Bonds,AAA,0.00 - 0.10,0.1
IDFC First Bank,Fixed Deposits,-,0.09 - 0.60,0.09
9.2% ICICI Bank 2050,Bonds,AA+,0.04 - 0.19,0.04
312. HDFC Balanced Advantage Fund,,,,
8.75% State Bank of India,Bonds,AA+,3.28 - 3.83,3.37
7.4% Tata Sons 2022,Debenture,AAA,3.13 - 3.55,3.23
8.6% Canara Bank,Bonds,AA,1.51 - 1.74,1.55
8.85% HDFC Bank 2099,Bonds,AA+,1.22 - 2.41,1.22
8.98% Punjab National Bank,Zero Coupon Bonds,A,0.00 - 1.06,1.03
8.15% State Bank of India,Bonds,AA+,0.95 - 1.08,0.98
7.99% State Bank of India 2029,Non Convertible Debenture,AAA,0.00 - 1.23,0.97
9.15% ICICI Bank,Debenture,AA+,0.62 - 0.78,0.64
9% Union Bank of India 2099,Bonds,AA-,0.56 - 0.64,0.58
9.2% ICICI Bank 2050,Bonds,AA+,0.42 - 0.57,0.43
9.95% Syndicate Bank,Debenture,A+,0.00 - 0.26,0.24
9.5% Union Bank of India 2048,Bonds,AA-,0.11 - 0.13,0.11
11.25% Syndicate Bank,Bonds,A+,0.00 - 0.08,0.07
8.75% Axis Bank,Bonds/Debentures,AA+,0.06 - 0.62,0.06
10.99% Andhra Bank 2050,Bonds,A+,0.05 - 0.05,0.05
9% State Bank of India 2021,Bonds,AA+,0.01 - 0.01,0.01
315. HDFC Children's Gift Fund,,,,
7.87% HDFC 2022,Non Convertible Debenture,AAA,0.00 - 6.42,6.07
7.17% Reliance Industries 2022,Non Convertible Debenture,AAA,0.00 - 3.62,3.42
8.75% Axis Bank 2022,Bonds,AA+,3.40 - 4.06,3.4
8.53% Power Finance Corp. 2020,Bonds/Debentures,AAA,0.00 - 2.06,1.74
7.28% Power Finance Corp. 2022,Bonds,AAA,0.00 - 1.98,1.71
8.28% GOI 2027,Central Government Loan,SOV,1.67 - 1.98,1.67
9.9% Tata Sons 2024,Bonds/NCDs,AAA,1.25 - 1.53,1.25
8.12% GOI 2020,Central Government Loan,SOV,1.17 - 1.43,1.17
8.32% GOI 2032,Central Government Loan,SOV,1.14 - 1.31,1.14
8.83% GOI 2023,Central Government Loan,SOV,0.99 - 1.19,0.99
7.99% State Bank of India 2029,Non Convertible Debenture,AAA,0.00 - 0.93,0.88
8.15% GOI 2022,Central Government Loan,SOV,0.54 - 0.65,0.54
6.35% GOI 2020,GOI Securities,SOV,0.43 - 0.53,0.43
8.75% State Bank of India,Bonds,AA+,0.38 - 0.46,0.38
8.08% GOI 2022,Central Government Loan,SOV,0.36 - 0.44,0.36
8.6% GOI 2028,Central Government Loan,SOV,0.19 - 0.22,0.19
7.16% GOI 2023,Central Government Loan,SOV,0.18 - 0.21,0.18
8.2% GOI 2022,Central Government Loan,SOV,0.09 - 0.11,0.09
8.94% Power Finance Corp. 2028,Bonds,AAA,0.07 - 0.09,0.07
Britannia Inds. 2022,Non Convertible Debenture,AAA,0.00 - 0.02,0.02
318. HDFC Dual Advantage Fund Series III 1224D November 2016 - Regular Plan,,,,
8.15% National Bank Agr. Rur. Devp 2020,Bonds,AAA,9.60 - 10.17,9.6
7.7% HUDCO 2020,Debenture,AAA,0.00 - 8.70,8.6
8.658% HDB Financial Services 2020,Bonds,AAA,7.37 - 7.77,7.37
8.2% Power Grid Corporation 2020,Debenture,AAA,7.10 - 7.54,7.1
8.73% LIC Housing Fin. 2020,Debenture,AAA,6.23 - 6.61,6.23
7.55% Tata Sons 2019,Bonds/Debentures,AAA,6.21 - 6.53,6.21
8.65% REC 2020,Bonds,AAA,5.98 - 6.38,5.98
8.75% HDFC 2020,Debenture,AAA,4.67 - 4.96,4.67
8.52% Power Finance Corp. 2019,Bonds,AAA,4.23 - 4.51,4.23
8.87% REC 2020,Bonds,AAA,4.00 - 4.26,4
7.81% M&M Financial Services 2019,Debenture,AAA,0.00 - 4.07,3.96
7.97% LIC Housing Fin. 2020,Debenture,AAA,3.36 - 3.54,3.36
8.36% Power Finance Corp. 2020,Bonds,AAA,2.49 - 2.64,2.49
8.95% Power Finance Corp. 2020,Bonds,AAA,1.75 - 1.86,1.75
8.68% LIC Housing Fin. 2020,Debenture,AAA,1.13 - 1.19,1.13
8.85% Power Grid Corporation 2019,Bonds,AAA,0.78 - 0.83,0.78
8.21% Rajasthan State 2020,State Development Loan,SOV,0.75 - 0.80,0.75
8.84% Power Grid Corporation 2020,Bonds,AAA,0.63 - 0.67,0.63
8.2% National Bank Agr. Rur. Devp 2020,Privately Placed Debts,AAA,0.62 - 0.66,0.62
7.8834% Bajaj Finance 2020,Debenture,AAA,0.00 - 0.50,0.5
319. HDFC Dual Advantage Fund Series III 1267D October 2016 - Regular Plan,,,,
8.36% Power Finance Corp. 2020,Bonds,AAA,10.22 - 10.84,10.22
8.18% National Bank Agr. Rur. Devp 2020,Bonds/NCDs,AAA,9.25 - 9.81,9.25
8.87% REC 2020,Bonds,AAA,9.06 - 9.65,9.06
8.658% HDB Financial Services 2020,Bonds,AAA,7.55 - 7.96,7.55
8.78% NTPC 2020,Bonds/NCDs,AAA,5.40 - 5.75,5.4
8.15% Power Grid Corporation 2020,Debenture,AAA,5.39 - 5.70,5.39
8.49% HDFC 2020,Debenture,AAA,5.39 - 5.68,5.39
7.97% LIC Housing Fin. 2020,Debenture,AAA,5.38 - 5.66,5.38
8.61% LIC Housing Fin. 2019,Debenture,AAA,5.37 - 5.70,5.37
9.05% Petronet LNG 2019,Bonds/NCDs,AAA,5.35 - 5.74,5.35
8.39% Rajasthan State 2020,State Development Loan,SOV,3.83 - 4.10,3.83
7.81% M&M Financial Services 2019,Debenture,AAA,0.00 - 3.30,3.21
7.78% HDFC 2020,Debenture,AAA,0.00 - 2.17,2.15
7.68% HDB Financial Services 2020,Debenture,AAA,0.00 - 1.30,1.29
7.69% HDFC 2019,Debenture,AAA,1.07 - 1.13,1.07
7.8834% Bajaj Finance 2020,Debenture,AAA,0.00 - 0.76,0.75
8.21% Rajasthan State 2020,State Development Loan,SOV,0.43 - 0.46,0.43
320. HDFC Dual Advantage Fund Series III 1304D August 2016 - Regular Plan,,,,
8.02% LIC Housing Fin. 2020,Debenture,AAA,9.91 - 10.42,9.91
9.71% Tata Motors 26-D 01/10/2019,Debenture,AA-,0.00 - 9.36,9.26
8.36% Power Finance Corp. 2020,Bonds,AAA,7.99 - 8.47,7.99
8.9% Reliance Jio Infocomm 2020,Debenture,AAA,6.65 - 7.08,6.65
8.75% HDFC 2020,Debenture,AAA,6.65 - 7.06,6.65
9.48% Tata Power 2019,Non Convertible Debenture,AA-,6.63 - 7.10,6.63
8.18% National Bank Agr. Rur. Devp 2020,Bonds/NCDs,AAA,0.00 - 6.36,6.26
7.9% Bajaj Finance 2020,Bonds/NCDs,AAA,4.65 - 4.78,4.76
8.21% Rajasthan State 2020,State Development Loan,SOV,3.34 - 3.56,3.34
8.2% Power Grid Corporation 2020,Debenture,AAA,3.33 - 3.53,3.33
8.06% HDB Financial Services 2020,Debenture,AAA,3.32 - 3.49,3.32
8.15% Power Grid Corporation 2020,Debenture,AAA,2.47 - 2.61,2.47
8.84% Power Grid Corporation 2020,Bonds,AAA,2.43 - 2.58,2.43
8.2% National Bank Agr. Rur. Devp 2020,Privately Placed Debts,AAA,2.33 - 2.47,2.33
8.8% REC 2019,Bonds,AAA,0.00 - 2.36,2.32
7.78% HDFC 2020,Debenture,AAA,0.00 - 2.02,2
7.81% M&M Financial Services 2019,Debenture,AAA,0.00 - 2.04,1.98
8.87% REC 2020,Bonds,AAA,0.67 - 0.71,0.67
Bajaj Finance 2020,Debenture,AAA,0.63 - 0.65,0.65
8.52% Power Finance Corp. 2019,Bonds,AAA,0.47 - 0.50,0.47
7.97% LIC Housing Fin. 2020,Debenture,AAA,0.33 - 1.05,0.33
322. HDFC Equity Savings Fund,,,,
8.85% HDFC Bank 2099,Bonds,AA+,1.46 - 2.13,2.13
9% State Bank of India 2021,Bonds,AA+,1.43 - 2.08,2.08
8.95% Punjab National Bank,Bonds,A,0.00 - 2.03,2.03
9.95% Syndicate Bank,Debenture,A+,0.00 - 1.76,1.76
8.98% Punjab National Bank,Zero Coupon Bonds,A,0.00 - 1.61,1.61
7.2% HDFC 2020,Debenture,AAA,1.05 - 1.56,1.56
7.16% GOI 2023,Central Government Loan,SOV,0.00 - 1.49,1.49
8.75% State Bank of India,Bonds,AA+,0.86 - 1.25,1.25
8.32% Reliance Jio Infocomm 2021,Debenture,AAA,0.71 - 1.04,1.04
8.3% REC 2029,Non Convertible Debenture,AAA,0.00 - 1.03,1.03
8.75% Axis Bank,Bonds/Debentures,AA+,0.35 - 0.51,0.51
Reliance Jio Infocomm 2023,Non Convertible Debenture,AAA,0.35 - 0.51,0.51
9.21% Punjab National Bank,Bonds,A,0.00 - 0.51,0.51
9.1% Union Bank of India,Bonds,AA,0.34 - 0.51,0.51
9.08% Union Bank of India 2099,Bonds,AA,0.34 - 0.51,0.51
8.6% Canara Bank,Bonds,AA,0.35 - 0.50,0.5
7.73% Power Finance Corp. 2021,Non Convertible Debenture,AAA,0.27 - 0.39,0.39
M&M Financial Services 2020,Debenture,AAA,0.20 - 0.31,0.31
Aarish Solar Power Ltd. 2027,Zero Coupon Bonds,AA-,0.17 - 0.24,0.24
8.32% Power Grid Corporation 2020,Bonds,AAA,0.14 - 0.21,0.21
8.61% M&M Financial Services 2019,Non Convertible Debenture,AAA,0.14 - 0.21,0.21
9.14% Bank of Baroda,Bonds,AA,0.14 - 0.21,0.21
8.49% HDFC 2020,Debenture,AAA,0.20 - 0.98,0.2
9% Union Bank of India 2099,Bonds,AA-,0.07 - 0.10,0.1
JM Fin Asset Reconstruction co 2020,Debenture,AA-,0.01 - 0.01,0.01
399. HDFC Hybrid Debt Fund,,,,
7.26% GOI 2029,GOI Securities,SOV,0.00 - 9.83,9.83
8.3% REC 2029,Non Convertible Debenture,AAA,0.00 - 3.44,3.44
8.98% Punjab National Bank,Zero Coupon Bonds,A,0.00 - 2.51,2.51
State Bank of India,Bonds/NCDs,AAA,2.17 - 2.44,2.44
9.3% Tata International,Bonds,A+,1.82 - 2.07,2.07
8.3% IRFC 2029,Debenture,AAA,0.00 - 1.98,1.98
8.65% Reliance Industries 2028,Non Convertible Debenture,AAA,0.00 - 1.79,1.79
9.02% REC 2022,Bonds,AAA,0.00 - 1.79,1.79
9.25% Power Finance Corp. 2024,Non Convertible Debenture,AAA,0.00 - 3.45,1.79
8.27% Nat. Highways Authority 2029,Debenture,AAA,0.00 - 1.79,1.78
Tata Realty and Infrastructure 2020,Debenture,AA,1.45 - 1.77,1.77
8.15% National Bank Agr. Rur. Devp 2029,Non Convertible Debenture,AAA,0.00 - 2.44,1.76
7.99% State Bank of India 2029,Non Convertible Debenture,AAA,0.00 - 1.76,1.76
8.85% HDFC Bank 2099,Bonds,AA+,1.50 - 2.12,1.74
7.32% NTPC 2029,Non Convertible Debenture,AAA,0.00 - 1.70,1.7
9.55% Canara Bank,Bonds,AA-,0.00 - 1.67,1.67
10.99% Andhra Bank 2050,Bonds,A+,1.39 - 1.57,1.57
4% HPCL Mittal Energy 2021,Debenture,AA+,0.00 - 1.51,1.51
8.7% Reliance Jio Infocomm 2021,Debenture,AAA,1.27 - 1.45,1.45
7.57% GOI 2033,GOI Securities,SOV,0.00 - 1.44,1.44
6.79% GOI 2029,GOI Securities,SOV,0.00 - 2.05,1.37
9.1% Union Bank of India,Bonds,AA,1.17 - 1.34,1.34
8.79% LIC Housing Fin. 2024,Non Convertible Debenture,AAA,0.00 - 1.25,1.25
Tata Power 2021,Bonds/NCDs,AA-,1.12 - 1.24,1.24
11.25% Syndicate Bank 2050,Debenture,A+,0.00 - 1.07,1.07
400. HDFC Hybrid Equity Fund,,,,
7.4% Tata Sons 2022,Debenture,AAA,2.53 - 2.83,2.78
8.75% Axis Bank 2022,Bonds,AA+,1.50 - 1.67,1.64
7.16% GOI 2023,Central Government Loan,SOV,1.42 - 1.59,1.56
6.84% GOI 2022,GOI Securities,SOV,1.32 - 1.48,1.45
8.4% SIDBI 2021,Debenture,AAA,1.12 - 1.24,1.22
Tata Sons,Debenture,AAA,0.86 - 0.96,0.95
8.2% GOI 2025,Central Government Loan,SOV,0.81 - 0.91,0.89
8.6% National Bank Agr. Rur. Devp 2022,Debenture,AAA,0.79 - 0.87,0.86
7.35% GOI 2024,Central Government Loan,SOV,0.67 - 0.75,0.74
7.28% Power Finance Corp. 2022,Bonds,AAA,0.64 - 0.72,0.71
8.08% GOI 2022,Central Government Loan,SOV,0.59 - 0.66,0.65
8.37% National Bank Agr. Rur. Devp 2021,Debenture,AAA,0.56 - 0.62,0.61
7.6% Nat. Highways Authority 2022,Bonds,AAA,0.55 - 0.62,0.6
7.72% GOI 2025,Central Government Loan,SOV,0.45 - 0.51,0.5
8.24% GOI 2033,Central Government Loan,SOV,0.44 - 0.58,0.5
9.1106% LIC Housing Fin. 2020,Non Convertible Debenture,AAA,0.00 - 0.49,0.48
7.5% HDFC 2020,Debenture,AAA,0.44 - 0.48,0.48
8.525% LIC Housing Fin. 2020,Debenture,AAA,0.44 - 0.49,0.48
7.85% LIC Housing Fin. 2022,Non Convertible Debenture,AAA,0.43 - 0.49,0.48
8.25% Tata Sons 2021,Non Convertible Debenture,AAA,0.44 - 0.48,0.47
7.1% Power Finance Corp. 2022,Bonds/NCDs,AAA,0.43 - 0.48,0.47
7.85% L&T Finance 2020,Accrued Income,AAA,0.44 - 0.48,0.47
8.98% Punjab National Bank,Zero Coupon Bonds,A,0.00 - 0.46,0.46
8.53% Power Finance Corp. 2020,Bonds/Debentures,AAA,0.28 - 0.42,0.41
8.15% GOI 2022,Central Government Loan,SOV,0.37 - 0.41,0.4
406. HDFC Retirement Savings Fund - Hybrid Debt Plan - Regular Plan,,,,
7.37% GOI 2023,GOI Securities,SOV,11.18 - 13.11,11.18
7.68% GOI 2023,GOI Securities,SOV,10.55 - 12.39,10.55
8.4% IRFC 2029,Debenture,AAA,0.00 - 7.90,7.55
7.93% Power Grid Corporation 2028,Bonds,AAA,0.00 - 7.68,7.35
6.79% GOI 2029,GOI Securities,SOV,0.00 - 7.38,7.15
9.33% Starlite Lighting 2021,Structured Obligation,A,0.00 - 7.13,6.92
8.75% State Bank of India,Bonds,AA+,6.50 - 7.85,6.5
8.95% Jamnagar Utilities and Power 2023,Debenture,AAA,3.60 - 4.32,3.6
11.25% Syndicate Bank 2050,Debenture,A+,0.00 - 3.46,2.93
9.25% Reliance Jio Infocomm 2024,Debenture,AAA,2.76 - 3.36,2.76
9.5% Union Bank of India 2048,Bonds,AA-,2.75 - 3.30,2.75
9.1% Power Finance Corp. 2029,Non Convertible Debenture,AAA,0.00 - 1.55,1.5
407. HDFC Retirement Savings Fund - Hybrid Equity Plan - Regular Plan,,,,
8.55% HDFC 2029,Debenture,AAA,0.00 - 8.49,7.74
9.1% Power Finance Corp. 2029,Non Convertible Debenture,AAA,0.00 - 8.63,7.46
6.84% GOI 2022,GOI Securities,SOV,3.05 - 4.78,3.05
8.95% Jamnagar Utilities and Power 2023,Debenture,AAA,2.99 - 4.78,2.99
8.75% State Bank of India,Bonds,AA+,2.55 - 4.10,2.55
7.93% Power Grid Corporation 2028,Bonds,AAA,0.00 - 1.92,1.53
11.25% Syndicate Bank 2050,Debenture,A+,0.00 - 1.64,1.06
7.68% GOI 2023,GOI Securities,SOV,0.94 - 1.47,0.94
7.37% GOI 2023,GOI Securities,SOV,0.77 - 1.21,0.77
9.25% Reliance Jio Infocomm 2024,Debenture,AAA,0.76 - 1.22,0.76
414. HSBC Equity Hybrid Fund - Regular Plan,,,,
7.9% National Bank Agr. Rur. Devp 2022,Non Convertible Debenture,AAA,0.00 - 4.01,3.91
7.61% HUDCO 2022,Debenture,AAA,0.00 - 3.98,3.89
7.9% Aditya Birla Finance 2020,Debenture,AAA,0.00 - 2.37,2.32
8.35% REC 2022,Debenture,AAA,0.00 - 1.92,1.88
7.87% HDFC 2022,Non Convertible Debenture,AAA,0.00 - 1.59,1.55
ICICI Bank 2020,Certificate of Deposit,A1+,0.00 - 1.53,1.51
National Bank Agr. Rur. Devp 2020,Commercial Paper,A1+,0.00 - 1.49,1.46
8.95% Reliance Industries 2028,Debenture,AAA,0.00 - 1.17,1.14
7.57% GOI 2033,GOI Securities,SOV,0.00 - 0.81,0.81
6.99% SIDBI 2022,Bonds/NCDs,AAA,0.00 - 0.79,0.77
431. HSBC Regular Savings Fund,,,,
7.32% GOI 2024,GOI Securities,SOV,0.00 - 15.58,15.58
8.95% Reliance Industries 2028,Debenture,AAA,0.00 - 9.97,9.95
7.27% GOI 2026,GOI Securities,SOV,0.00 - 8.79,7.56
8.3% IRFC 2029,Debenture,AAA,0.00 - 6.87,6.87
6.68% GOI 2031,GOI Securities,SOV,0.00 - 6.80,5.52
7.17% GOI 2028,GOI Securities,SOV,0.00 - 10.82,4.8
8.37% HUDCO 2029,Debenture,AAA,0.00 - 4.48,4.47
8.35% REC 2022,Debenture,AAA,0.00 - 2.88,2.88
7.49% Nat. Highways Authority 2029,Debenture,AAA,0.00 - 2.80,2.77
7.85% Tata Sons 2021,Privately Placed Debts,AAA,1.65 - 2.34,2.34
7.64% Can Fin Homes 2021,Debenture,AA+,0.00 - 2.13,2.13
7.57% GOI 2033,GOI Securities,SOV,0.00 - 1.48,1.48
8.8% IDFC First Bank 2021,Debenture,AA,0.00 - 0.94,0.94
India Infoline Finance 2021,Debenture,AA,0.55 - 0.82,0.82
IIFL Home Finance 2021,Debenture,AA,0.56 - 0.82,0.82
8% Shriram Transport Finance 2020,Debenture,AA+,0.33 - 0.46,0.46
436. ICICI Prudential Balanced Advantage Fund,,,,
8.75% Axis Bank,Bonds/Debentures,AA+,1.41 - 2.02,1.99
9.2% ICICI Bank 2050,Bonds,AA+,1.60 - 1.87,1.84
8.75% Axis Bank 2022,Bonds,AA+,0.30 - 1.42,1.38
HDFC Bank 91-D 25/11/2019,Fixed Deposits,-,0.00 - 1.24,1.22
HDFC Bank 91-D 29/10/2019,Fixed Deposits,-,0.00 - 1.02,1
9.15% ICICI Bank,Debenture,AA+,0.86 - 0.97,0.95
9.37% State Bank of India 2023,Debenture,AA+,0.00 - 0.92,0.9
7.74% Power Finance Corp. 2028,Non Convertible Debenture,AAA,0.82 - 0.90,0.88
9.1106% LIC Housing Fin. 2020,Non Convertible Debenture,AAA,0.00 - 1.06,0.82
8.25% HDFC Credila Financial Services 2021,Bonds/Debentures,AAA,0.58 - 0.64,0.63
8.2% Talwandi Sabo Power 2019,Bonds/Debentures,AA,0.00 - 0.64,0.63
8.85% HDFC Bank 2099,Bonds,AA+,0.57 - 0.63,0.6
9.5% Indusind Bank 2022,Bonds,AA,0.53 - 0.56,0.55
9.3% Tata International,Bonds,A+,0.51 - 0.55,0.54
Tata Capital Financial Services 364-D 13/12/2019,Commercial Paper,A1+,0.00 - 0.53,0.53
8.55% Talwandi Sabo Power 2021,Debenture,AA,0.50 - 0.53,0.52
8.37% HUDCO 2029,Debenture,AAA,0.00 - 0.62,0.49
Muthoot Finance 2021,Non Convertible Debenture,AA,0.00 - 0.46,0.46
HDFC Bank 92-D 03/10/2019,Fixed Deposits,-,0.00 - 0.45,0.45
8.24% National Bank Agr. Rur. Devp 2029,Debenture,AAA,0.00 - 0.72,0.41
8.5% Vedanta 2021,Debenture,AA,0.38 - 0.41,0.41
7.32% GOI 2024,GOI Securities,SOV,0.00 - 0.38,0.37
8.51% HDFC 2020,Non Convertible Debenture,AAA,0.00 - 0.37,0.36
HDFC Bank 92-D 13/11/2019,Fixed Deposits,-,0.00 - 0.36,0.36
9.5% Nayara Energy 2021,Bonds/NCDs,AA,0.34 - 0.37,0.36
441. ICICI Prudential Capital Protection Oriented Fund - Series IX - 1325 Days - Plan E,,,,
Reserve Bank of India 182-D 10/10/2019,Treasury Bills,SOV,0.00 - 29.02,28.83
Bajaj Finance 2019,Zero Coupon Bonds,AAA,9.96 - 10.24,10.18
9.04% REC 2019,Bonds,AAA,8.67 - 9.26,8.67
SIDBI 2019,Certificate of Deposit,A1+,0.00 - 9.91,8.65
8.97% LIC Housing Fin. 2019,Debenture,AAA,6.29 - 6.68,6.29
442. ICICI Prudential Capital Protection Oriented Fund - Series IX - 1378 Days - Plan D,,,,
9.04% REC 2019,Bonds,AAA,13.37 - 14.29,13.37
Reserve Bank of India 182-D 10/10/2019,Treasury Bills,SOV,0.00 - 10.04,9.99
8.93% Power Grid Corporation 2019,Bonds,AAA,8.74 - 9.33,8.74
8.85% Power Grid Corporation 2019,Bonds,AAA,4.55 - 4.85,4.55
SIDBI 2019,Certificate of Deposit,A1+,0.00 - 3.74,3.72
443. ICICI Prudential Capital Protection Oriented Fund - Series VII - 1822 Days - Plan D,,,,
8.52% Power Finance Corp. 2019,Bonds,AAA,14.82 - 15.65,14.83
8.97% LIC Housing Fin. 2019,Debenture,AAA,14.80 - 15.67,14.8
9.25% Power Grid Corporation 2019,Bonds,AAA,13.02 - 13.82,13.02
6.54% Export-Import Bank 2019,Bonds,AAA,0.00 - 9.56,9.46
9.04% REC 2019,Bonds,AAA,5.91 - 6.30,5.91
444. ICICI Prudential Capital Protection Oriented Fund - Series X - 1235 Days - Plan A,,,,
8.31% Uttar Pradesh State 2019,State Development Loan,SOV,27.36 - 29.25,27.36
8.96% Power Finance Corp. 2019,Bonds,AAA,8.63 - 9.19,8.63
9.04% REC 2019,Bonds,AAA,8.48 - 9.05,8.48
8.84% Power Grid Corporation 2019,Bonds,AAA,7.51 - 8.00,7.51
SIDBI 2019,Certificate of Deposit,A1+,0.00 - 2.18,2.17
445. ICICI Prudential Capital Protection Oriented Fund - Series X - 1375 Days - Plan B,,,,
8.25% Uttar Pradesh State 2020,State Development Loan,SOV,0.00 - 15.08,14.96
M&M Financial Services 2020,Debenture,AAA,9.31 - 9.55,9.54
8.39% Rajasthan State 2020,State Development Loan,SOV,8.55 - 9.08,8.55
8.75% HDFC 2020,Debenture,AAA,8.51 - 8.98,8.51
8.21% Rajasthan State 2020,State Development Loan,SOV,0.00 - 6.46,6.41
8.36% Power Finance Corp. 2020,Bonds,AAA,6.39 - 6.74,6.39
8.48% Andhra Pradesh State 2020,State Development Loan,SOV,0.00 - 6.32,6.32
8.75% LIC Housing Fin. 2020,Debenture,AAA,5.53 - 5.84,5.53
8.9% Reliance Jio Infocomm 2020,Debenture,AAA,4.48 - 4.92,4.68
8.32% Tamilnadu State 2020,State Development Loan,SOV,4.26 - 4.54,4.26
8.54% Haryana State 2020,State Development Loan,SOV,3.77 - 4.01,3.77
8.2% National Bank Agr. Rur. Devp 2020,Privately Placed Debts,AAA,1.41 - 1.48,1.41
1.5% HDFC 2020,Debenture,AAA,0.87 - 0.93,0.87
7.7% HUDCO 2020,Debenture,AAA,0.00 - 0.88,0.85
7.6411% Bajaj Finance 2020,Debenture,AAA,0.00 - 0.64,0.64
8.87% REC 2020,Bonds,AAA,0.43 - 0.45,0.43
8.02% LIC Housing Fin. 2020,Debenture,AAA,0.43 - 0.45,0.43
9.04% REC 2019,Bonds,AAA,0.21 - 0.23,0.21
8.31% Uttar Pradesh State 2019,State Development Loan,SOV,0.21 - 0.23,0.21
446. ICICI Prudential Capital Protection Oriented Fund Series XII Plan A 1168 Days,,,,
8.32% Punjab State 2020,State Development Loan,SOV,39.44 - 42.19,39.44
1.5% HDFC 2020,Debenture,AAA,9.92 - 10.74,9.92
7.78% LIC Housing Fin. 2020,Debenture,AAA,9.72 - 10.26,9.72
7.9% Tata Sons 2020,Debenture,AAA,6.80 - 10.66,6.8
7.3% Power Finance Corp. 2020,Debenture,AAA,6.79 - 7.18,6.79
SIDBI 2020,Debenture,A1+,0.00 - 4.91,4.9
7.7% HDB Financial Services 2020,Debenture,AAA,4.85 - 5.12,4.85
7.6% Bajaj Finance 2020,Debenture,AAA,0.00 - 2.37,2.26
