Company,Instrument,Credit Rating,1Y Range,% Assets
8.45% REC 2022,Debenture,AAA,10.68 - 11.27,10.68
8.6% National Bank Agr. Rur. Devp 2022,Debenture,AAA,10.22 - 10.79,10.22
8.25% Tata Sons 2022,Debenture,AAA,10.02 - 10.59,10.02
7.35% BPCL 2022,Bonds,AAA,7.89 - 8.27,7.89
7.95% LIC Housing Fin. 2022,Bonds,AAA,3.42 - 3.57,3.42
8.81% SIDBI 2022,Debenture,AAA,2.69 - 3.21,3.13
7.6% Nat. Highways Authority 2022,Bonds,AAA,0.00 - 1.99,1.91
9.23% Gujarat State 2022,State Development Loan,SOV,0.00 - 1.33,1.33
8.58% HDFC 2022,Debenture,AAA,0.00 - 0.26,0.26
368. HDFC Fixed Maturity Plan - 1196 Days - December 2018 (1) - Regular Plan,,,,
Bajaj Housing Finance 2022,Debenture,AAA,11.45 - 11.61,11.61
LIC Housing Fin. 2022,Debenture,AAA,11.33 - 11.43,11.43
HDB Financial Services 2022,Debenture,AAA,11.27 - 11.40,11.4
8.46% HUDCO 2022,Non Convertible Debenture,AAA,10.53 - 11.11,10.53
8.45% REC 2022,Debenture,AAA,10.50 - 11.09,10.5
9.95% Food Corporation of India 2022,Bonds,AAA,9.63 - 10.26,9.63
7.35% BPCL 2022,Bonds,AAA,8.79 - 9.22,8.79
7.6% Nat. Highways Authority 2022,Bonds,AAA,7.52 - 8.73,8.39
8.94% Gujarat State 2022,State Development Loan,SOV,7.88 - 8.33,7.88
8.39% Rajasthan State 2026,State Development Loan,SOV,4.48 - 4.74,4.48
8.3% Reliance Industries 2022,Debenture,AAA,0.00 - 1.67,1.61
369. HDFC Fixed Maturity Plan - 1199 Days - January 2017 (1) - Regular Plan,,,,
Prism Johnson 2020,Debenture,A,0.00 - 11.94,11.91
IIFL Home Finance 2020,Debenture,AA,11.75 - 11.84,11.79
JM Fin Asset Reconstruction co 2020,Debenture,AA-,10.11 - 10.19,10.19
Tata Realty and Infrastructure 2020,Debenture,AA,9.89 - 9.97,9.95
8.29% Century Textiles & Inds. 2020,Bonds,AA,9.53 - 10.24,9.53
11% Shriram Transport Finance 2020,Debenture,AA+,8.68 - 9.53,8.69
8.5% Tata Housing Devp. Co. 2020,Debenture,AA,7.63 - 8.39,7.63
8.7% Vedanta 2020,Debenture,AA,7.60 - 8.33,7.6
8.84% Power Grid Corporation 2020,Bonds,AAA,4.68 - 5.04,4.68
8.21% Rajasthan State 2020,State Development Loan,SOV,2.92 - 3.15,2.92
8.64% IDFC First Bank 2020,Debenture,AA,0.00 - 1.90,1.85
KEC International 2020,Debenture,AA-,0.97 - 0.99,0.99
8.95% Bajaj Finance 2020,Debenture,AAA,0.00 - 0.88,0.87
7.97% LIC Housing Fin. 2020,Debenture,AAA,0.70 - 0.74,0.7
8.68% LIC Housing Fin. 2020,Debenture,AAA,0.00 - 0.72,0.7
Bajaj Finance 2020,Debenture,AAA,0.00 - 0.42,0.63
Asian Satellite Broadcast 2020,Debenture,-,0.00 - 0.63,0.63
8.95% Power Finance Corp. 2020,Bonds,AAA,0.31 - 0.61,0.58
8.45% Shriram Transport Finance 2020,Non Convertible Debenture,AA+,0.00 - 0.57,0.57
8.22% National Bank Agr. Rur. Devp 15-D 18/02/2020,Bonds,AAA,0.47 - 0.50,0.47
8.7% Power Finance Corp. 2020,Bonds,AAA,0.00 - 0.37,0.35
8.15% Power Grid Corporation 2020,Debenture,AAA,0.00 - 0.29,0.29
8.87% REC 2020,Bonds,AAA,0.12 - 0.13,0.12
7.81% LIC Housing Fin. 2020,Debenture,AAA,0.12 - 0.12,0.12
370. HDFC Fixed Maturity Plan - 1203 Days - December 2018 (1) - Regular Plan,,,,
8.39% Rajasthan State 2026,State Development Loan,SOV,15.58 - 16.55,15.58
Bajaj Finance 2022,Zero Coupon Bonds,AAA,11.34 - 11.52,11.52
LIC Housing Fin. 2022,Debenture,AAA,11.40 - 11.51,11.51
HDB Financial Services 2022,Debenture,AAA,0.00 - 11.30,11.3
8.4% HUDCO 2022,Non Convertible Debenture,AAA,10.76 - 11.39,10.76
8.45% REC 2022,Debenture,AAA,10.73 - 11.39,10.73
8.81% SIDBI 2022,Debenture,AAA,10.54 - 11.19,10.54
9.95% Food Corporation of India 2022,Bonds,AAA,8.09 - 8.64,8.09
7.6% Nat. Highways Authority 2022,Bonds,AAA,4.02 - 4.24,4.02
7.2% HDFC 2020,Debenture,AAA,0.00 - 1.63,1.59
8.6% National Bank Agr. Rur. Devp 2022,Debenture,AAA,0.00 - 0.51,0.49
Bajaj Housing Finance 2022,Debenture,AAA,0.00 - 0.36,0.36
371. HDFC Fixed Maturity Plan - 1208 Days - March 2018 (1) - Regular Plan,,,,
8.5% Vedanta 2021,Non Convertible Debenture,AA,10.71 - 11.32,10.73
10.25% Adani Transmission 2021,Debenture,AA+,10.15 - 11.08,10.15
8.3873% Indiabulls Housing Finance 2021,Non Convertible Debenture,AA+,0.00 - 10.41,9.76
JM Financial Credit Solutions 2021,Zero Coupon Bonds,AA,9.29 - 9.44,9.37
7.532% M&M Financial Services 2020,Non Convertible Debenture,AAA,8.48 - 8.81,8.48
8.35% Bharti Airtel 2021,Non Convertible Debenture,AA,0.00 - 8.81,8.39
8.55% Talwandi Sabo Power 2021,Debenture,AA,7.08 - 7.52,7.08
7.4% Tata Motors 2021,Bonds,AA-,0.00 - 6.94,6.89
KKR India Financial Services 2021,Debenture,AA,0.00 - 5.25,5.25
Inox Air Products 2020,Debenture,AA,5.19 - 5.58,5.19
8.4% Tata Motors 2021,Debenture,AA-,0.00 - 1.86,1.85
Asian Satellite Broadcast 2021,Zero Coupon Bonds,BB,0.00 - 1.75,1.75
9.15% Tata Steel 2021,Debenture,AA,1.70 - 1.82,1.7
8.36% REC 2020,Debenture,AAA,0.00 - 1.16,1.15
7.2% HDFC 2020,Debenture,AAA,0.00 - 1.04,1.02
8.36% Power Finance Corp. 2020,Bonds,AAA,0.00 - 0.88,0.86
7.5% Power Finance Corp. 2020,Bonds,AAA,0.00 - 0.87,0.85
8.33% NTPC 2021,Bonds/NCDs,AAA,0.00 - 0.83,0.82
7.4% National Bank Agr. Rur. Devp 2021,Debenture,AAA,0.75 - 0.78,0.75
IIFL Home Finance 2020,Debenture,AA,0.00 - 0.40,0.4
8.75% LIC Housing Fin. 2021,Debenture,AAA,0.00 - 0.26,0.26
8.65% Volkswagen Finance 2020,Debenture,AAA,0.00 - 0.24,0.24
8.35% HDFC 2021,Debenture,AAA,0.17 - 0.18,0.17
372. HDFC Fixed Maturity Plan - 1211 Days - December 2018 (1) - Regular Plan,,,,
8.39% Rajasthan State 2026,State Development Loan,SOV,14.39 - 15.29,14.39
Bajaj Finance 2022,Zero Coupon Bonds,AAA,11.12 - 11.31,11.31
LIC Housing Fin. 2022,Debenture,AAA,11.17 - 11.30,11.3
8.4% HUDCO 2022,Non Convertible Debenture,AAA,10.41 - 11.01,10.41
8.45% REC 2022,Debenture,AAA,10.38 - 11.01,10.38
8.81% SIDBI 2022,Debenture,AAA,10.07 - 10.69,10.07
8.6% National Bank Agr. Rur. Devp 2022,Debenture,AAA,10.00 - 10.60,10
9.95% Food Corporation of India 2022,Bonds,AAA,8.07 - 8.61,8.07
HDB Financial Services 2022,Debenture,AAA,0.00 - 7.51,7.51
8.58% HDFC 2022,Debenture,AAA,0.00 - 1.77,1.73
9.23% Gujarat State 2022,State Development Loan,SOV,0.00 - 1.12,1.12
Bajaj Housing Finance 2022,Debenture,AAA,0.00 - 0.96,0.96
373. HDFC Fixed Maturity Plan - 1213 Days - March 2017 (1) - Regular Plan,,,,
Prism Johnson 2020,Debenture,A,0.00 - 10.01,9.98
TMF Holdings 2020,Debenture,AA-,0.00 - 9.61,9.55
Tata Realty and Infrastructure 2020,Debenture,AA,8.16 - 8.30,8.29
8.47% LIC Housing Fin. 2020,Debenture,AAA,7.95 - 8.46,7.95
8.29% Century Textiles & Inds. 2020,Bonds,AA,7.78 - 8.28,7.78
8.7% Vedanta 2020,Debenture,AA,7.66 - 8.14,7.66
2% Sadbhav Infrastructure Project 2020,Debenture,A,0.00 - 7.37,7.36
Aarti Industries 2020,Debenture,AA-,7.35 - 7.92,7.35
10.55% Hinduja Leyland Finance 2020,Debenture,AA-,7.00 - 7.62,7
JM Fin Asset Reconstruction co 2020,Debenture,AA-,6.09 - 6.21,6.19
ARM Infra & Utilities 2020,Debenture,BB,0.00 - 4.69,4.69
8.49% HDFC 2020,Debenture,AAA,0.00 - 2.21,2.21
8.65% Power Finance Corp. 2020,Bonds,AAA,0.00 - 1.04,1.03
7.9% LIC Housing Fin. 2019,Debenture,AAA,1.02 - 1.08,1.02
8.19% Tata Housing Devp. Co. 2020,Debenture,AA,0.00 - 1.01,1.01
7.69% HDFC 2019,Debenture,AAA,0.00 - 0.93,0.91
8.22% National Bank Agr. Rur. Devp 15-D 18/02/2020,Bonds,AAA,0.84 - 0.90,0.84
Indiabulls Housing Finance 2020,Debenture,AA+,0.00 - 0.81,0.81
Indiabulls Housing Finance 2020,Debenture,AA+,0.00 - 0.81,0.81
8.45% Shriram Transport Finance 2020,Non Convertible Debenture,AA+,0.00 - 0.76,0.76
7.42% Power Finance Corp. 2020,Debenture,AAA,0.00 - 0.78,0.75
Asian Satellite Broadcast 2020,Debenture,BB,0.00 - 0.46,0.46
7.6% HDFC 2020,Debenture,AAA,0.45 - 0.48,0.45
8.7% Power Finance Corp. 2020,Bonds,AAA,0.00 - 0.40,0.39
HDB Financial Services 2020,Zero Coupon Bonds,AAA,0.27 - 0.28,0.28
374. HDFC Fixed Maturity Plan - 1218 Days - December 2016 (1) - Regular Plan,,,,
Prism Johnson 2020,Debenture,A,0.00 - 11.80,11.79
IIFL Home Finance 2020,Debenture,AA,11.56 - 11.65,11.6
JM Fin Asset Reconstruction co 2020,Debenture,AA-,10.07 - 10.15,10.14
8.29% Century Textiles & Inds. 2020,Bonds,AA,9.48 - 10.21,9.48
9.85% Adani Transmission 2019,Debenture,AA+,9.30 - 10.15,9.3
Inox Air Products 2019,Debenture,AA,8.98 - 9.84,8.98
Tata Realty and Infrastructure 2020,Debenture,AA,8.84 - 8.89,8.88
8.5% Tata Housing Devp. Co. 2020,Debenture,AA,7.63 - 8.15,7.63
8.7% Vedanta 2020,Debenture,AA,7.59 - 8.16,7.59
8.95% Power Finance Corp. 2020,Bonds,AAA,0.24 - 2.10,1.99
Aditya Birla Fashion and Retail 2020,Debenture,AA,1.74 - 1.75,1.74
7.81% LIC Housing Fin. 2020,Debenture,AAA,1.42 - 1.51,1.42
8.15% Power Grid Corporation 2020,Debenture,AAA,0.00 - 0.68,0.67
8.65% Power Finance Corp. 2019,Non Convertible Debenture,AAA,0.56 - 0.61,0.56
8.45% Shriram Transport Finance 2020,Non Convertible Debenture,AA+,0.00 - 0.48,0.48
7.97% LIC Housing Fin. 2020,Debenture,AAA,0.45 - 0.48,0.45
Bajaj Finance 2020,Debenture,AAA,0.27 - 0.27,0.27
Asian Satellite Broadcast 2020,Debenture,BB,0.00 - 0.27,0.27
375. HDFC Fixed Maturity Plan - 1218 Days - December 2018 (1) - Regular Plan,,,,
8.39% Rajasthan State 2026,State Development Loan,SOV,12.67 - 13.48,12.67
Bajaj Finance 2022,Zero Coupon Bonds,AAA,11.39 - 11.57,11.57
8.4% HUDCO 2022,Non Convertible Debenture,AAA,10.86 - 11.51,10.86
8.81% SIDBI 2022,Debenture,AAA,10.75 - 11.43,10.75
7.6% Nat. Highways Authority 2022,Bonds,AAA,10.29 - 10.85,10.29
LIC Housing Fin. 2022,Debenture,AAA,9.58 - 9.67,9.67
HDB Financial Services 2022,Debenture,AAA,0.00 - 9.41,9.41
8.6% National Bank Agr. Rur. Devp 2022,Debenture,AAA,8.28 - 8.79,8.28
7.46% REC 2022,Non Convertible Debenture,AAA,8.24 - 8.69,8.24
8.45% REC 2022,Debenture,AAA,1.95 - 2.07,1.95
8.54% NHPC 2021,Bonds,AAA,0.00 - 1.64,1.57
8.2% Power Grid Corporation 2022,Bonds/NCDs,AAA,0.00 - 0.91,0.87
376. HDFC Fixed Maturity Plan - 1224 Days - December 2018 (1) - Regular Plan,,,,
8.39% Rajasthan State 2026,State Development Loan,SOV,13.26 - 14.11,13.26
Bajaj Finance 2022,Zero Coupon Bonds,AAA,11.38 - 11.55,11.55
7.6% Nat. Highways Authority 2022,Bonds,AAA,10.70 - 11.42,10.97
LIC Housing Fin. 2022,Debenture,AAA,10.63 - 10.82,10.82
8.81% SIDBI 2022,Debenture,AAA,10.65 - 11.33,10.65
8.6% National Bank Agr. Rur. Devp 2022,Debenture,AAA,10.25 - 10.89,10.25
8.2% Power Grid Corporation 2022,Bonds/NCDs,AAA,8.67 - 9.40,8.96
8.27% REC 2022,Debenture,AAA,8.15 - 8.65,8.15
8.46% HUDCO 2022,Non Convertible Debenture,AAA,4.12 - 4.37,4.12
HDB Financial Services 2022,Debenture,AAA,2.56 - 2.59,2.59
8.45% REC 2022,Debenture,AAA,2.05 - 2.18,2.05
8.4% HUDCO 2022,Non Convertible Debenture,AAA,1.04 - 1.81,1.73
8.18% Power Finance Corp. 2022,Debenture,AAA,0.00 - 1.16,1.14
377. HDFC Fixed Maturity Plan - 1232 Days - November 2018 (1) - Regular Plan,,,,
Bajaj Finance 2022,Zero Coupon Bonds,AAA,0.00 - 11.54,11.54
LIC Housing Fin. 2022,Debenture,AAA,10.21 - 11.33,11.33
8.39% Rajasthan State 2026,State Development Loan,SOV,10.49 - 11.26,10.49
HDB Financial Services 2022,Debenture,AAA,0.00 - 8.90,8.9
8.6% National Bank Agr. Rur. Devp 2022,Debenture,AAA,8.69 - 10.43,8.69
8.45% REC 2022,Debenture,AAA,8.30 - 11.19,8.3
7.6% Nat. Highways Authority 2022,Bonds,AAA,7.35 - 8.60,8.25
8.46% HUDCO 2022,Non Convertible Debenture,AAA,0.00 - 9.08,6.47
8.81% SIDBI 2022,Debenture,AAA,5.14 - 7.19,6.42
8.2% Power Grid Corporation 2022,Bonds/NCDs,AAA,5.29 - 5.66,5.34
7.2% Power Grid Corporation 2021,Bonds,AAA,4.76 - 5.04,4.76
8.66% Power Finance Corp. 2021,Bonds,AAA,2.84 - 3.05,2.84
7.27% Power Finance Corp. 2021,Debenture,AAA,2.12 - 2.26,2.12
Bajaj Housing Finance 2022,Debenture,AAA,0.00 - 0.59,0.59
8.21% Haryana State 2022,State Development Loan,SOV,0.38 - 0.41,0.38
378. HDFC Fixed Maturity Plan - 1246 Days - November 2018 (1) - Regular Plan,,,,
8.39% Rajasthan State 2026,State Development Loan,SOV,23.83 - 25.50,23.83
Bajaj Finance 2022,Zero Coupon Bonds,AAA,0.00 - 11.69,11.69
7.6% Nat. Highways Authority 2022,Bonds,AAA,9.94 - 11.44,10.98
7.46% REC 2022,Non Convertible Debenture,AAA,10.27 - 10.97,10.27
8.81% SIDBI 2022,Debenture,AAA,10.25 - 10.97,10.25
9.17% LIC Housing Fin. 2022,Debenture,AAA,10.24 - 10.91,10.24
7.27% Power Finance Corp. 2021,Debenture,AAA,8.90 - 9.46,8.9
9.3533% HDB Financial Services 2022,Non Convertible Debenture,AAA,7.50 - 7.98,7.5
8.3% Reliance Industries 2022,Debenture,AAA,0.00 - 1.26,1.21
9.23% Gujarat State 2022,State Development Loan,SOV,0.00 - 0.96,0.96
LIC Housing Fin. 2022,Debenture,AAA,0.00 - 0.44,0.44
8.76% Maharashtra State 2022,State Development Loan,SOV,0.00 - 0.32,0.31
379. HDFC Fixed Maturity Plan - 1260 Days - October 2018 (1) - Regular Plan,,,,
8.21% Haryana State 2022,State Development Loan,SOV,0.00 - 24.99,23.37
9.17% LIC Housing Fin. 2022,Debenture,AAA,2.40 - 10.77,10.45
8.81% SIDBI 2022,Debenture,AAA,0.00 - 9.40,8.78
9.3533% HDB Financial Services 2022,Non Convertible Debenture,AAA,2.81 - 9.33,8.75
9.4745% M&M Financial Services 2022,Zero Coupon Bonds,AAA,0.00 - 9.32,8.7
8.2% Power Grid Corporation 2022,Bonds/NCDs,AAA,0.00 - 8.85,8.31
7.6% Nat. Highways Authority 2022,Bonds,AAA,0.00 - 8.71,8.21
7.46% REC 2022,Non Convertible Debenture,AAA,0.00 - 8.65,8.09
Bajaj Finance 2022,Zero Coupon Bonds,AAA,0.00 - 4.02,4.02
7.27% Power Finance Corp. 2021,Debenture,AAA,0.00 - 4.20,3.95
8.76% Maharashtra State 2022,State Development Loan,SOV,0.00 - 0.97,0.94
Bajaj Housing Finance 2022,Debenture,AAA,0.00 - 0.82,0.82
8.45% REC 2022,Debenture,AAA,0.00 - 0.40,0.37
LIC Housing Fin. 2022,Debenture,AAA,0.00 - 0.20,0.2
8.54% NHPC 2021,Bonds,AAA,0.00 - 0.04,0.04
380. HDFC Fixed Maturity Plan - 1261 Days - October 2018 (1) - Regular Plan,,,,
8.39% Rajasthan State 2026,State Development Loan,SOV,46.42 - 49.86,46.42
8.21% Haryana State 2022,State Development Loan,SOV,45.66 - 48.96,45.66
8.21% Rajasthan State 2022,State Development Loan,SOV,0.00 - 2.54,2.54
8.64% Tamilnadu State 2021,State Development Loan,SOV,0.00 - 1.08,1.05
8.76% Maharashtra State 2022,State Development Loan,SOV,0.00 - 1.06,1.04
9.23% Gujarat State 2022,State Development Loan,SOV,0.00 - 0.52,0.52
381. HDFC Fixed Maturity Plan - 1265 Days - October 2018 (1) - Regular Plan,,,,
8.21% Haryana State 2022,State Development Loan,SOV,21.71 - 23.13,21.71
9.17% LIC Housing Fin. 2022,Debenture,AAA,8.52 - 9.13,8.88
8.81% SIDBI 2022,Debenture,AAA,8.75 - 9.33,8.75
9.4745% M&M Financial Services 2022,Zero Coupon Bonds,AAA,8.74 - 9.33,8.74
9.3533% HDB Financial Services 2022,Non Convertible Debenture,AAA,8.72 - 9.26,8.72
7.6% Nat. Highways Authority 2022,Bonds,AAA,8.40 - 8.89,8.4
7.46% REC 2022,Non Convertible Debenture,AAA,8.35 - 8.90,8.35
9.95% Food Corporation of India 2022,Bonds,AAA,8.15 - 8.75,8.15
Bajaj Finance 2022,Zero Coupon Bonds,AAA,0.00 - 5.32,5.32
8.2% Power Grid Corporation 2022,Bonds/NCDs,AAA,5.10 - 5.41,5.1
8.3% Reliance Industries 2022,Debenture,AAA,0.00 - 2.71,2.61
Bajaj Housing Finance 2022,Debenture,AAA,0.00 - 0.39,0.39
8.18% Power Finance Corp. 2022,Debenture,AAA,0.00 - 0.21,0.21
LIC Housing Fin. 2022,Debenture,AAA,0.00 - 0.15,0.15
382. HDFC Fixed Maturity Plan - 1274 Days - October 2018 (1) - Regular Plan,,,,
8.21% Haryana State 2022,State Development Loan,SOV,27.28 - 29.33,27.28
9.17% LIC Housing Fin. 2022,Debenture,AAA,9.15 - 9.97,9.68
7.6% Nat. Highways Authority 2022,Bonds,AAA,8.70 - 9.81,9.43
8.83% REC 2022,Non Convertible Debenture,AAA,9.19 - 9.96,9.19
9.3533% HDB Financial Services 2022,Non Convertible Debenture,AAA,8.81 - 9.47,8.81
8.2% Power Grid Corporation 2022,Bonds/NCDs,AAA,7.34 - 8.67,8.3
8.6% National Bank Agr. Rur. Devp 2022,Debenture,AAA,8.00 - 8.58,8
7.27% Power Finance Corp. 2021,Debenture,AAA,3.82 - 7.23,3.82
Bajaj Finance 2022,Zero Coupon Bonds,AAA,0.00 - 3.48,3.48
7.35% BPCL 2022,Bonds,AAA,3.45 - 3.66,3.45
6.72% NTPC 2021,Bonds,AAA,1.79 - 1.89,1.79
8.25% Tata Sons 2022,Debenture,AAA,1.54 - 1.65,1.54
HDB Financial Services 2022,Debenture,AAA,0.00 - 0.28,0.28
8.18% Power Finance Corp. 2022,Debenture,AAA,0.00 - 0.19,0.18
383. HDFC Fixed Maturity Plan - 1280 Days - October 2018 (1) - Regular Plan,,,,
8.39% Rajasthan State 2026,State Development Loan,SOV,23.32 - 25.02,23.32
7.6% Nat. Highways Authority 2022,Bonds,AAA,8.85 - 11.36,10.95
8.6% National Bank Agr. Rur. Devp 2022,Debenture,AAA,8.55 - 9.13,8.55
7.46% REC 2022,Non Convertible Debenture,AAA,8.38 - 8.94,8.38
8.25% Tata Sons 2022,Debenture,AAA,8.38 - 8.97,8.38
9.95% Food Corporation of India 2022,Bonds,AAA,8.30 - 8.94,8.3
7.95% LIC Housing Fin. 2022,Bonds,AAA,8.27 - 8.74,8.27
9.3533% HDB Financial Services 2022,Non Convertible Debenture,AAA,7.98 - 8.55,7.98
Bajaj Finance 2022,Zero Coupon Bonds,AAA,0.00 - 6.14,6.14
8.2% Power Grid Corporation 2022,Bonds/NCDs,AAA,3.07 - 8.83,3.07
8.76% Maharashtra State 2022,State Development Loan,SOV,0.00 - 2.30,2.22
8.4% HUDCO 2022,Non Convertible Debenture,AAA,0.00 - 0.41,0.4
384. HDFC Fixed Maturity Plan - 1302 Days - September 2016 (1) - Regular Plan,,,,
IIFL Home Finance 2020,Debenture,AA,11.11 - 11.89,11.12
Aditya Birla Fashion and Retail 2020,Debenture,AA,9.85 - 9.99,9.92
KEC International 2020,Debenture,AA-,9.29 - 9.49,9.45
JM Financial Credit Solutions 2020,Debenture,AA,8.73 - 8.88,8.85
India Infoline Finance 2020,Debenture,AA,8.05 - 8.18,8.14
8.7% Vedanta 2020,Debenture,AA,7.62 - 8.13,7.62
8.5% Tata Housing Devp. Co. 2020,Debenture,AA,7.22 - 8.14,7.22
9.85% Adani Transmission 2020,Debenture,AA+,5.70 - 6.18,5.7
Asian Satellite Broadcast 2020,Debenture,BB,0.00 - 4.16,4.16
8.45% Shriram Transport Finance 2020,Non Convertible Debenture,AA+,0.00 - 3.08,3.08
Sadbhav Engineering 2019,Non Convertible Debenture,A,0.00 - 3.19,3.07
2.6% Sadbhav Infrastructure Project 2020,Structured Obligation,A,0.00 - 2.54,2.52
8.29% Century Textiles & Inds. 2020,Bonds,AA,2.02 - 2.48,2.48
10.3% Aavas Financiers 2020,Debenture,A+,2.15 - 2.30,2.15
9.85% Adani Transmission 2019,Debenture,AA+,0.00 - 2.11,2.07
8.25% Bharti Airtel 2020,Non Convertible Debenture,AA,0.00 - 1.42,1.42
TMF Holdings 2020,Debenture,AA-,0.00 - 1.03,1.02
7.69% HDFC 2019,Debenture,AAA,0.00 - 0.74,0.71
7.97% LIC Housing Fin. 2020,Debenture,AAA,0.47 - 0.50,0.47
8.65% Power Finance Corp. 2019,Non Convertible Debenture,AAA,0.44 - 0.48,0.44
8.73% LIC Housing Fin. 2020,Debenture,AAA,0.00 - 0.46,0.43
8.2% National Bank Agr. Rur. Devp 2020,Privately Placed Debts,AAA,0.29 - 0.31,0.29
8.47% LIC Housing Fin. 2020,Debenture,AAA,0.29 - 0.31,0.29
JM Fin Asset Reconstruction co 2020,Debenture,AA-,0.00 - 0.18,0.18
8.658% HDB Financial Services 2020,Bonds,AAA,0.17 - 0.18,0.17
385. HDFC Fixed Maturity Plan - 1309 Days - September 2016 (1) - Regular Plan,,,,
KEC International 2020,Debenture,AA-,11.79 - 12.02,11.8
IIFL Home Finance 2020,Debenture,AA,11.52 - 11.72,11.64
Aditya Birla Fashion and Retail 2020,Debenture,AA,9.75 - 9.89,9.83
India Infoline Finance 2020,Debenture,AA,7.99 - 8.13,8.1
8.7% Vedanta 2020,Debenture,AA,7.86 - 8.37,7.86
TMF Holdings 2020,Debenture,AA-,0.00 - 7.16,7.11
9.85% Adani Transmission 2020,Debenture,AA+,5.75 - 6.22,5.75
8.45% Shriram Transport Finance 2020,Non Convertible Debenture,AA+,0.00 - 5.00,5
2.6% Sadbhav Infrastructure Project 2020,Structured Obligation,A,0.00 - 4.38,4.35
Asian Satellite Broadcast 2020,Debenture,BB,0.00 - 4.15,4.15
8.5% Tata Housing Devp. Co. 2020,Debenture,AA,3.62 - 3.83,3.62
Sadbhav Engineering 2019,Non Convertible Debenture,A,0.00 - 3.57,3.44
9.85% Adani Transmission 2019,Debenture,AA+,0.00 - 2.71,2.59
10.3% Aavas Financiers 2020,Debenture,A+,1.93 - 2.06,1.93
8.29% Century Textiles & Inds. 2020,Bonds,AA,1.49 - 1.59,1.49
8.25% Bharti Airtel 2020,Non Convertible Debenture,AA,0.00 - 1.43,1.43
9.05% Petronet LNG 2019,Bonds/NCDs,AAA,1.00 - 1.08,1
11% Shriram Transport Finance 2020,Debenture,AA+,0.66 - 0.72,0.66
JM Fin Asset Reconstruction co 2020,Debenture,AA-,0.00 - 0.44,0.44
8.85% Power Grid Corporation 2019,Bonds,AAA,0.37 - 0.40,0.37
8.65% REC 2020,Bonds,AAA,0.29 - 0.31,0.29
8.47% LIC Housing Fin. 2020,Debenture,AAA,0.29 - 0.31,0.29
8.882% Tata Capital Financial Services 2020,Non Convertible Debenture,AAA,0.29 - 0.31,0.29
8.7% Power Finance Corp. 2020,Bonds,AAA,0.00 - 0.24,0.22
8.73% LIC Housing Fin. 2020,Debenture,AAA,0.00 - 0.20,0.19
386. HDFC Fixed Maturity Plan - 1344 Days - October 2018 (1) - Regular Plan,,,,
Kalpataru Power Trans 2022,Zero Coupon Bonds,AA,9.38 - 9.49,9.43
2% Tata Steel 2022,Debenture,AA,9.26 - 9.46,9.26
9.4769% L&T Finance 2022,Debenture,AAA,8.77 - 9.43,8.77
9.3772% L&T Housing Finance 2022,Debenture,AAA,0.00 - 9.38,8.77
Inox Air Products 2021,Debenture,AA,0.00 - 9.12,8.72
9.55% Hindalco Inds. 2022,Bonds/NCDs,AA,8.65 - 9.19,8.65
7.5% Tata Motors 2022,Debenture,AA-,0.00 - 8.62,8.56
9.23% Talwandi Sabo Power 2021,Debenture,AA,8.53 - 9.27,8.54
G R Infra Projects 2022,Zero Coupon Bonds,AA-,0.00 - 8.06,8.05
4% HPCL Mittal Energy 2021,Debenture,AA+,0.00 - 5.01,4.97
8.5% Vedanta 2021,Non Convertible Debenture,AA,4.39 - 4.73,4.41
9.3533% HDB Financial Services 2022,Non Convertible Debenture,AAA,0.00 - 4.05,3.87
8.58% HDFC 2022,Debenture,AAA,0.00 - 2.31,2.3
8.23% HUDCO 2022,Non Convertible Debenture,AAA,0.00 - 1.56,1.53
LIC Housing Fin. 2022,Debenture,AAA,0.00 - 0.17,0.17
387. HDFC Fixed Maturity Plan - 1372 Days - September 2018 (1) - Regular Plan,,,,
7.42% Maharashtra State 2022,State Development Loan,SOV,22.18 - 23.54,22.18
9.3% Export-Import Bank 2022,Bonds,AAA,10.29 - 11.02,10.29
8.25% Tata Sons 2022,Debenture,AAA,10.10 - 10.88,10.1
7.28% Power Finance Corp. 2022,Bonds,AAA,9.12 - 9.70,9.12
9.3533% HDB Financial Services 2022,Non Convertible Debenture,AAA,8.78 - 9.46,8.78
9.17% LIC Housing Fin. 2022,Debenture,AAA,0.00 - 8.89,8.34
7.6% Nat. Highways Authority 2022,Bonds,AAA,6.88 - 10.90,6.88
7.46% REC 2022,Non Convertible Debenture,AAA,6.86 - 10.92,6.86
8.2% Power Grid Corporation 2022,Bonds/NCDs,AAA,5.30 - 8.98,5.3
Bajaj Finance 2022,Zero Coupon Bonds,AAA,0.00 - 2.88,2.88
8.58% HDFC 2022,Debenture,AAA,0.00 - 2.17,2.12
8.54% NHPC 2021,Bonds,AAA,0.00 - 1.99,1.91
8.234% Bajaj Finance 2020,Bonds,AAA,0.22 - 0.24,0.22
LIC Housing Fin. 2022,Debenture,AAA,0.00 - 0.16,0.16
8.6% National Bank Agr. Rur. Devp 2022,Debenture,AAA,0.15 - 0.16,0.15
388. HDFC Fixed Maturity Plan - 1381 Days - September 2018 (1) - Regular Plan,,,,
8.27% Rajasthan State 2022,State Development Loan,SOV,17.16 - 18.45,17.16
7.28% Power Finance Corp. 2022,Bonds,AAA,10.45 - 11.12,10.45
